Nested Sampling Global Log-Evidence           :   -0.168594502807914672E+02  +/-    0.128996733987402662E+00
Nested Importance Sampling Global Log-Evidence:   -0.183615755350219487E+02  +/-    0.302668511599912093E+00

Dim No.       Mean        Sigma
   1    0.144595455583169974E+04    0.194208735294152234E+03
   2   -0.890624607304476013E+00    0.591197709089724799E+00
   3   -0.608340230389342373E+00    0.302705010638306737E+00
   4   -0.267738155668216737E+00    0.680795879701298734E+00
   5   -0.109157238380518251E+01    0.476773885047197754E+00
   6    0.858744200048896111E+01    0.146393794913099828E+01
   7    0.322378403354016818E+01    0.142215857249100663E+01
   8   -0.257807553598203976E+01    0.172324818329305218E+01
   9   -0.587761756661375845E+01    0.212507371733276518E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.143268451976120309E+04
   2   -0.117042628696111972E+01
   3   -0.670484300932348898E+00
   4   -0.860315576686032646E+00
   5   -0.124007396464539843E+01
   6    0.790432553739132704E+01
   7    0.326732837504634066E+01
   8   -0.222703792990628102E+01
   9   -0.503161304837746215E+01

MAP Parameters
Dim No.        Parameter
   1    0.143268451976120309E+04
   2   -0.117042628696111972E+01
   3   -0.670484300932348898E+00
   4   -0.860315576686032646E+00
   5   -0.124007396464539843E+01
   6    0.790432553739132704E+01
   7    0.326732837504634066E+01
   8   -0.222703792990628102E+01
   9   -0.503161304837746215E+01
