Nested Sampling Global Log-Evidence           :   -0.194977470885770401E+03  +/-    0.201047922428291587E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.194977470885770401E+03 +/-    0.201047922428291587E+00
Local Log-Evidence   -0.194977470885770401E+03 +/-    0.201047922428291587E+00

Dim No.       Mean        Sigma
   1    0.135495994727900279E+04    0.717145759976472021E+02
   2    0.518836916691314265E-01    0.133568626184159073E+00
   3   -0.204863177749985303E+00    0.588940525744410526E-01
   4    0.675410654457843318E+01    0.386631001402492125E+00
   5    0.208022636827473573E+01    0.917078876815430322E+00
   6   -0.286866382815537280E+00    0.766248837018457252E+00
   7   -0.438066900392134428E+01    0.130098555268642913E+01
   8    0.991504730324416883E+00    0.665067280249866588E-03

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.134223675726181114E+04
   2    0.422918389350681601E-01
   3   -0.202695099691769132E+00
   4    0.670303706539623168E+01
   5    0.197289822163257611E+01
   6   -0.115443742345559297E+01
   7   -0.596589216474592376E+01
   8    0.991625350854994370E+00

MAP Parameters
Dim No.        Parameter
   1    0.134223675726181114E+04
   2    0.422918389350681601E-01
   3   -0.202695099691769132E+00
   4    0.670303706539623168E+01
   5    0.197289822163257611E+01
   6   -0.115443742345559297E+01
   7   -0.596589216474592376E+01
   8    0.991625350854994370E+00
