Nested Sampling Global Log-Evidence           :   -0.248493905543199354E+02  +/-    0.134306649088421215E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.248493905543199354E+02 +/-    0.134306649088421215E+00
Local Log-Evidence   -0.248493905543199354E+02 +/-    0.134306649088421215E+00

Dim No.       Mean        Sigma
   1    0.527002066719267532E+03    0.143947396809792679E+03
   2   -0.308925389432149666E+01    0.128773868825530147E+01
   3   -0.702881120517929059E+01    0.286596449560875266E+01
   4   -0.767896597413667159E+01    0.254850035509939943E+01
   5   -0.825947645607835668E+01    0.224066995335522412E+01
   6   -0.380207159792204976E+02    0.413535640817835759E+01
   7    0.997507639009131530E+00    0.757693568091300927E-03

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.504671081083621971E+03
   2   -0.335059361630929331E+01
   3   -0.518041882649056085E+01
   4   -0.799451722979822765E+01
   5   -0.108765419289933813E+02
   6   -0.333037414925626933E+02
   7    0.997805447655790934E+00

MAP Parameters
Dim No.        Parameter
   1    0.504671081083621971E+03
   2   -0.335059361630929331E+01
   3   -0.518041882649056085E+01
   4   -0.799451722979822765E+01
   5   -0.108765419289933813E+02
   6   -0.333037414925626933E+02
   7    0.997805447655790934E+00
